bulkyItems,electronicWaste,illegalDumpingPickup,metalHouseholdAppliances,duration,healthStatus
1,0,0,0,7,3
0,0,1,0,4,1
0,0,0,1,3,1
1,0,0,0,1,3
1,0,0,0,2,1
0,1,0,0,3,3
0,0,1,0,2,3
0,1,0,0,1,2
0,0,1,0,7,3
1,0,0,0,4,2
1,0,0,0,7,2
0,0,1,0,7,3
1,0,0,0,2,3
1,0,0,0,4,1
1,0,0,0,7,3
1,0,0,0,2,3
1,0,0,0,2,2
1,0,0,0,30,3
1,0,0,0,1,3
0,1,0,0,2,3
1,0,0,0,3,3
1,0,0,0,30,3
1,0,0,0,1,2
0,0,0,1,2,2
1,0,0,0,2,2
1,0,0,0,3,3
1,0,0,0,1,2
1,0,0,0,3,2
1,0,0,0,4,3
1,0,0,0,1,2
0,1,0,0,1,2
1,0,0,0,3,3
1,0,0,0,2,3
1,0,0,0,7,3
0,0,1,0,1,3
1,0,0,0,1,2
0,0,1,0,1,3
1,0,0,0,4,3
0,0,1,0,1,3
1,0,0,0,3,2
0,0,0,1,3,1
1,0,0,0,1,2
1,0,0,0,3,1
1,0,0,0,1,2
1,0,0,0,7,3
1,0,0,0,1,2
1,0,0,0,2,1
0,0,0,1,7,3
0,0,0,1,4,1
0,0,1,0,1,2
0,0,1,0,1,2
1,0,0,0,1,1
0,1,0,0,2,3
0,0,1,0,1,2
1,0,0,0,2,1
1,0,0,0,1,3
1,0,0,0,1,2
1,0,0,0,3,2
1,0,0,0,1,3
1,0,0,0,2,1
1,0,0,0,4,3
1,0,0,0,1,3
1,0,0,0,3,2
0,0,1,0,1,1
0,0,1,0,30,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,2
1,0,0,0,1,1
0,1,0,0,1,1
1,0,0,0,2,1
1,0,0,0,1,3
0,1,0,0,1,1
1,0,0,0,1,2
1,0,0,0,2,3
0,1,0,0,3,3
0,1,0,0,2,3
1,0,0,0,4,2
0,0,1,0,23,3
0,0,1,0,30,1
1,0,0,0,7,3
1,0,0,0,3,3
1,0,0,0,2,3
0,0,1,0,4,2
1,0,0,0,2,3
1,0,0,0,4,3
1,0,0,0,2,3
1,0,0,0,2,3
1,0,0,0,2,1
1,0,0,0,1,2
1,0,0,0,4,3
1,0,0,0,2,2
1,0,0,0,4,3
0,0,1,0,2,3
1,0,0,0,3,2
1,0,0,0,1,3
1,0,0,0,1,2
1,0,0,0,4,2
1,0,0,0,7,3
1,0,0,0,4,2
1,0,0,0,1,3
1,0,0,0,3,2
0,0,1,0,3,2
0,0,1,0,7,3
1,0,0,0,1,3
0,0,1,0,3,1
1,0,0,0,1,3
1,0,0,0,5,3
0,0,1,0,4,3
1,0,0,0,2,3
0,0,1,0,3,3
1,0,0,0,4,3
0,0,1,0,7,3
1,0,0,0,4,3
1,0,0,0,1,2
0,0,0,1,1,3
0,0,1,0,2,3
1,0,0,0,1,3
1,0,0,0,1,2
1,0,0,0,1,3
0,0,0,1,2,3
1,0,0,0,2,3
1,0,0,0,1,3
1,0,0,0,3,2
1,0,0,0,3,1
1,0,0,0,1,2
0,0,1,0,2,1
1,0,0,0,3,1
1,0,0,0,2,3
1,0,0,0,1,3
1,0,0,0,2,2
1,0,0,0,2,3
1,0,0,0,3,3
0,0,1,0,1,2
0,0,1,0,1,3
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,1,3
0,0,1,0,3,3
1,0,0,0,1,2
1,0,0,0,2,3
1,0,0,0,1,3
1,0,0,0,1,2
1,0,0,0,7,2
1,0,0,0,2,3
1,0,0,0,1,3
1,0,0,0,7,2
1,0,0,0,2,3
0,0,0,1,7,2
0,0,1,0,1,3
1,0,0,0,2,3
1,0,0,0,1,1
0,0,0,1,2,3
1,0,0,0,3,3
1,0,0,0,2,2
1,0,0,0,2,1
1,0,0,0,3,1
1,0,0,0,1,2
1,0,0,0,3,1
1,0,0,0,2,2
0,0,1,0,2,2
1,0,0,0,2,2
1,0,0,0,2,2
1,0,0,0,1,1
1,0,0,0,4,1
0,0,1,0,2,2
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,8,1
1,0,0,0,3,3
1,0,0,0,2,1
0,1,0,0,2,1
1,0,0,0,30,1
0,0,1,0,1,2
0,0,1,0,2,3
0,0,1,0,4,2
1,0,0,0,1,3
1,0,0,0,1,3
0,0,1,0,1,3
1,0,0,0,7,3
1,0,0,0,5,3
1,0,0,0,2,3
1,0,0,0,2,3
0,0,1,0,1,3
0,0,0,1,2,1
0,0,1,0,4,1
1,0,0,0,7,3
1,0,0,0,4,2
0,1,0,0,1,1
0,1,0,0,1,1
1,0,0,0,1,3
0,0,1,0,7,1
1,0,0,0,3,2
1,0,0,0,4,3
1,0,0,0,2,3
1,0,0,0,3,2
0,0,1,0,4,3
1,0,0,0,2,3
1,0,0,0,7,3
1,0,0,0,2,3
1,0,0,0,2,3
1,0,0,0,2,2
1,0,0,0,4,3
1,0,0,0,4,3
1,0,0,0,1,3
1,0,0,0,3,1
1,0,0,0,2,1
0,0,1,0,8,1
0,0,0,1,2,1
1,0,0,0,4,3
1,0,0,0,2,2
1,0,0,0,4,1
0,0,1,0,4,1
1,0,0,0,7,3
1,0,0,0,1,1
1,0,0,0,7,2
1,0,0,0,1,1
0,0,1,0,7,2
1,0,0,0,2,2
1,0,0,0,1,1
1,0,0,0,3,1
1,0,0,0,7,3
1,0,0,0,30,3
0,0,1,0,7,3
1,0,0,0,30,3
0,0,1,0,4,1
0,1,0,0,4,2
0,0,1,0,2,1
1,0,0,0,3,3
0,0,1,0,30,3
1,0,0,0,1,2
1,0,0,0,3,3
1,0,0,0,4,2
1,0,0,0,1,2
0,1,0,0,1,2
0,0,0,1,2,1
1,0,0,0,2,2
1,0,0,0,3,3
0,1,0,0,4,1
1,0,0,0,3,3
1,0,0,0,1,3
1,0,0,0,2,2
1,0,0,0,7,2
1,0,0,0,4,1
1,0,0,0,7,3
0,0,1,0,2,3
1,0,0,0,4,1
1,0,0,0,1,3
0,0,1,0,4,1
1,0,0,0,1,1
1,0,0,0,1,3
1,0,0,0,5,2
1,0,0,0,1,3
1,0,0,0,2,2
1,0,0,0,7,3
0,0,1,0,3,1
1,0,0,0,2,1
1,0,0,0,2,2
1,0,0,0,1,2
1,0,0,0,1,3
1,0,0,0,7,1
1,0,0,0,3,3
1,0,0,0,3,2
1,0,0,0,1,2
0,0,1,0,4,3
0,0,1,0,1,3
1,0,0,0,2,1
0,0,1,0,1,3
0,0,1,0,3,2
1,0,0,0,2,3
1,0,0,0,2,1
0,0,1,0,2,3
0,0,1,0,1,3
0,0,1,0,3,2
1,0,0,0,4,1
1,0,0,0,1,1
0,0,1,0,2,3
1,0,0,0,4,1
1,0,0,0,1,1
1,0,0,0,2,3
0,0,1,0,2,1
1,0,0,0,4,1
1,0,0,0,2,3
1,0,0,0,1,3
0,0,1,0,4,1
1,0,0,0,3,2
1,0,0,0,2,3
1,0,0,0,3,3
1,0,0,0,1,2
1,0,0,0,7,3
1,0,0,0,2,3
1,0,0,0,2,3
0,0,1,0,1,3
0,0,1,0,3,2
1,0,0,0,3,2
0,0,0,1,2,3
1,0,0,0,1,2
1,0,0,0,4,3
1,0,0,0,4,3
1,0,0,0,1,2
1,0,0,0,1,3
1,0,0,0,1,1
1,0,0,0,1,3
1,0,0,0,7,3
1,0,0,0,7,1
0,0,1,0,4,3
1,0,0,0,1,3
1,0,0,0,2,2
1,0,0,0,2,2
0,0,0,1,4,2
0,0,0,1,1,2
1,0,0,0,2,3
1,0,0,0,4,2
1,0,0,0,30,3
1,0,0,0,3,3
1,0,0,0,2,3
0,0,0,1,1,1
0,0,1,0,4,3
1,0,0,0,4,3
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,3,2
1,0,0,0,3,3
1,0,0,0,3,3
1,0,0,0,7,1
0,0,1,0,4,3
1,0,0,0,5,3
0,0,1,0,3,3
1,0,0,0,2,2
1,0,0,0,1,2
1,0,0,0,23,3
0,0,1,0,30,3
1,0,0,0,2,1
1,0,0,0,1,3
1,0,0,0,4,2
1,0,0,0,2,2
1,0,0,0,4,3
0,0,1,0,3,2
1,0,0,0,4,3
1,0,0,0,3,3
1,0,0,0,2,3
0,1,0,0,2,3
1,0,0,0,2,3
1,0,0,0,7,1
1,0,0,0,2,3
0,0,1,0,3,1
0,0,0,1,1,2
0,1,0,0,2,3
1,0,0,0,7,3
1,0,0,0,3,3
0,0,1,0,21,3
1,0,0,0,30,2
1,0,0,0,4,3
1,0,0,0,1,1
1,0,0,0,2,3
0,0,1,0,4,3
0,0,1,0,1,3
1,0,0,0,2,2
1,0,0,0,2,3
1,0,0,0,3,3
0,0,1,0,3,3
1,0,0,0,4,1
0,0,0,1,1,1
1,0,0,0,5,1
1,0,0,0,7,3
1,0,0,0,1,2
1,0,0,0,3,3
1,0,0,0,3,3
1,0,0,0,7,3
1,0,0,0,4,1
1,0,0,0,1,1
1,0,0,0,2,1
1,0,0,0,3,3
1,0,0,0,3,2
1,0,0,0,3,3
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,4,3
1,0,0,0,3,2
0,0,1,0,1,3
0,0,0,1,2,3
1,0,0,0,3,2
0,1,0,0,2,3
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,4,3
1,0,0,0,4,3
1,0,0,0,3,3
1,0,0,0,1,2
0,0,1,0,1,3
1,0,0,0,2,2
1,0,0,0,4,3
1,0,0,0,1,2
0,1,0,0,1,2
1,0,0,0,2,2
1,0,0,0,1,2
1,0,0,0,16,3
0,0,0,1,3,3
0,0,1,0,0,2
1,0,0,0,2,1
1,0,0,0,1,3
0,0,1,0,4,2
0,0,1,0,3,1
1,0,0,0,2,1
1,0,0,0,0,3
1,0,0,0,23,3
0,0,1,0,3,2
1,0,0,0,3,3
1,0,0,0,2,2
1,0,0,0,3,3
1,0,0,0,3,3
0,1,0,0,7,2
1,0,0,0,4,3
1,0,0,0,3,3
1,0,0,0,4,3
1,0,0,0,1,3
1,0,0,0,7,3
1,0,0,0,3,3
1,0,0,0,4,3
0,0,1,0,2,2
0,0,1,0,3,3
1,0,0,0,3,3
1,0,0,0,1,1
1,0,0,0,3,3
1,0,0,0,2,1
1,0,0,0,3,3
1,0,0,0,1,1
1,0,0,0,3,3
1,0,0,0,7,3
1,0,0,0,3,3
0,0,1,0,1,3
1,0,0,0,2,1
1,0,0,0,7,3
1,0,0,0,7,1
1,0,0,0,7,3
1,0,0,0,2,1
1,0,0,0,5,1
1,0,0,0,7,3
1,0,0,0,2,3
0,1,0,0,7,2
1,0,0,0,4,3
1,0,0,0,7,3
1,0,0,0,4,2
0,0,1,0,7,3
1,0,0,0,7,3
1,0,0,0,1,1
1,0,0,0,2,2
1,0,0,0,7,3
0,0,0,1,1,1
1,0,0,0,2,3
1,0,0,0,4,2
1,0,0,0,1,1
1,0,0,0,2,2
1,0,0,0,1,1
0,0,1,0,7,2
1,0,0,0,4,1
0,1,0,0,7,3
1,0,0,0,2,1
0,0,1,0,2,3
1,0,0,0,7,3
1,0,0,0,3,3
1,0,0,0,2,3
1,0,0,0,1,3
1,0,0,0,1,1
1,0,0,0,7,3
1,0,0,0,1,3
1,0,0,0,4,1
1,0,0,0,7,3
1,0,0,0,2,3
1,0,0,0,3,2
1,0,0,0,4,1
1,0,0,0,3,3
1,0,0,0,3,3
1,0,0,0,5,2
1,0,0,0,3,3
1,0,0,0,3,2
1,0,0,0,3,3
0,1,0,0,4,3
1,0,0,0,7,1
0,0,1,0,3,3
0,0,1,0,3,3
1,0,0,0,4,1
1,0,0,0,2,1
1,0,0,0,7,2
0,0,1,0,3,3
0,0,1,0,3,2
0,0,1,0,3,2
1,0,0,0,3,3
1,0,0,0,3,3
1,0,0,0,3,2
1,0,0,0,3,3
1,0,0,0,4,3
0,0,0,1,3,3
0,1,0,0,3,2
1,0,0,0,7,1
1,0,0,0,1,3
0,0,1,0,4,3
1,0,0,0,3,3
1,0,0,0,2,3
1,0,0,0,2,1
1,0,0,0,4,3
1,0,0,0,1,3
1,0,0,0,4,1
0,1,0,0,2,3
1,0,0,0,4,1
1,0,0,0,1,1
0,0,1,0,2,3
0,0,1,0,1,3
1,0,0,0,3,3
1,0,0,0,4,3
0,0,1,0,2,3
1,0,0,0,2,2
0,0,0,1,3,2
0,0,1,0,1,3
0,1,0,0,7,3
0,1,0,0,2,1
1,0,0,0,1,3
0,0,1,0,2,2
1,0,0,0,2,1
1,0,0,0,1,1
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,2,3
1,0,0,0,2,3
0,1,0,0,2,3
1,0,0,0,4,1
1,0,0,0,2,3
0,0,1,0,1,1
1,0,0,0,1,3
0,0,1,0,2,3
0,1,0,0,4,1
1,0,0,0,3,2
1,0,0,0,1,3
0,1,0,0,1,1
0,1,0,0,2,3
1,0,0,0,4,2
1,0,0,0,3,1
1,0,0,0,4,1
1,0,0,0,7,2
0,0,1,0,2,1
1,0,0,0,4,1
1,0,0,0,7,3
0,1,0,0,7,3
1,0,0,0,3,3
1,0,0,0,4,2
1,0,0,0,2,1
1,0,0,0,7,2
0,0,1,0,4,1
1,0,0,0,7,3
1,0,0,0,3,1
1,0,0,0,7,3
0,1,0,0,4,1
0,1,0,0,4,2
0,0,1,0,4,1
1,0,0,0,7,3
1,0,0,0,4,3
1,0,0,0,2,3
0,0,1,0,1,3
0,0,1,0,14,1
1,0,0,0,4,3
0,0,1,0,7,2
0,1,0,0,4,3
1,0,0,0,7,2
0,1,0,0,4,3
1,0,0,0,2,2
1,0,0,0,2,2
0,1,0,0,3,2
1,0,0,0,7,1
0,0,1,0,4,1
1,0,0,0,4,3
1,0,0,0,3,2
0,0,0,1,2,3
0,1,0,0,4,1
1,0,0,0,3,3
1,0,0,0,4,1
0,0,1,0,30,1
1,0,0,0,3,2
1,0,0,0,7,1
1,0,0,0,1,1
0,0,1,0,1,3
0,0,1,0,2,3
0,0,1,0,30,3
0,0,0,1,2,1
1,0,0,0,7,3
0,0,1,0,7,3
1,0,0,0,2,3
1,0,0,0,4,3
1,0,0,0,4,2
1,0,0,0,3,3
1,0,0,0,2,3
0,0,1,0,7,1
1,0,0,0,3,2
1,0,0,0,1,3
1,0,0,0,7,3
0,0,1,0,4,1
1,0,0,0,2,1
1,0,0,0,1,2
1,0,0,0,1,3
0,1,0,0,2,3
0,0,1,0,1,3
1,0,0,0,3,3
0,0,1,0,1,2
0,1,0,0,3,2
1,0,0,0,4,3
1,0,0,0,2,1
1,0,0,0,4,3
1,0,0,0,2,3
0,0,0,1,3,2
0,0,1,0,2,1
1,0,0,0,2,2
1,0,0,0,3,2
1,0,0,0,2,3
1,0,0,0,2,2
0,0,1,0,1,1
1,0,0,0,2,2
0,0,1,0,2,3
0,0,1,0,7,1
1,0,0,0,2,3
1,0,0,0,2,3
0,0,1,0,3,2
1,0,0,0,7,3
1,0,0,0,4,2
0,0,0,1,4,3
1,0,0,0,1,3
1,0,0,0,2,3
1,0,0,0,2,3
1,0,0,0,4,3
1,0,0,0,2,3
0,0,1,0,2,3
0,0,1,0,4,2
0,1,0,0,4,1
1,0,0,0,1,3
1,0,0,0,7,3
0,0,1,0,26,3
1,0,0,0,2,1
1,0,0,0,2,1
0,0,0,1,4,1
1,0,0,0,3,1
1,0,0,0,3,1
0,0,1,0,2,3
0,0,1,0,1,3
1,0,0,0,4,3
0,0,1,0,3,1
1,0,0,0,7,3
1,0,0,0,1,2
0,0,1,0,1,3
1,0,0,0,1,2
0,0,1,0,1,3
1,0,0,0,7,3
0,0,1,0,2,2
1,0,0,0,7,3
1,0,0,0,1,3
1,0,0,0,7,3
1,0,0,0,2,2
1,0,0,0,4,1
1,0,0,0,1,2
0,0,1,0,1,3
1,0,0,0,7,3
1,0,0,0,4,3
1,0,0,0,1,1
0,0,1,0,7,3
1,0,0,0,4,3
0,0,0,1,2,1
0,0,1,0,2,3
1,0,0,0,4,1
0,0,1,0,7,3
1,0,0,0,2,2
0,1,0,0,3,3
0,0,1,0,2,2
0,0,1,0,4,3
0,0,1,0,2,3
1,0,0,0,2,2
0,0,0,1,4,1
1,0,0,0,30,1
1,0,0,0,2,1
1,0,0,0,2,1
1,0,0,0,1,3
0,0,1,0,2,2
1,0,0,0,4,2
1,0,0,0,2,1
1,0,0,0,7,3
1,0,0,0,7,3
1,0,0,0,3,2
1,0,0,0,1,3
0,0,1,0,4,1
0,0,1,0,2,3
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,2,3
0,0,1,0,1,3
0,0,0,1,2,3
0,1,0,0,3,2
0,0,1,0,2,3
1,0,0,0,4,2
1,0,0,0,2,1
0,0,1,0,3,2
0,0,1,0,4,1
0,0,0,1,2,3
1,0,0,0,3,3
1,0,0,0,2,3
0,0,1,0,30,1
1,0,0,0,3,3
1,0,0,0,2,3
1,0,0,0,1,1
1,0,0,0,2,3
1,0,0,0,1,1
1,0,0,0,2,2
0,1,0,0,2,3
0,0,0,1,2,3
1,0,0,0,4,2
0,0,1,0,30,2
1,0,0,0,1,2
1,0,0,0,2,3
0,0,1,0,3,2
1,0,0,0,4,3
1,0,0,0,1,2
1,0,0,0,1,1
1,0,0,0,1,2
1,0,0,0,3,3
1,0,0,0,2,3
0,1,0,0,3,2
0,0,1,0,16,3
0,0,1,0,3,1
1,0,0,0,4,2
1,0,0,0,3,2
1,0,0,0,4,3
1,0,0,0,2,2
1,0,0,0,2,1
1,0,0,0,4,2
0,0,0,1,3,2
1,0,0,0,2,1
1,0,0,0,4,2
1,0,0,0,4,3
1,0,0,0,3,3
0,1,0,0,3,2
0,1,0,0,1,2
1,0,0,0,2,2
1,0,0,0,1,1
1,0,0,0,2,3
0,0,1,0,4,3
0,0,1,0,2,1
1,0,0,0,1,3
1,0,0,0,1,1
0,0,1,0,7,2
0,0,1,0,1,3
0,0,1,0,30,2
1,0,0,0,2,3
1,0,0,0,3,2
1,0,0,0,2,2
1,0,0,0,7,3
